slug,url
carlos-esteban-villa,https://signal.nfx.com/investors/carlos-esteban-villa
carlos-gutierrez,https://signal.nfx.com/investors/carlos-gutierrez
carlos-moreira-jr,https://signal.nfx.com/investors/carlos-moreira-jr
carlos-perez-pla,https://signal.nfx.com/investors/carlos-perez-pla
carlotta-riganti,https://signal.nfx.com/investors/carlotta-riganti
carly-bloom,https://signal.nfx.com/investors/carly-bloom
carmen-de-la-cerda,https://signal.nfx.com/investors/carmen-de-la-cerda
carol-paiffer,https://signal.nfx.com/investors/carol-paiffer
caroline-chen,https://signal.nfx.com/investors/caroline-chen
caroline-hultman,https://signal.nfx.com/investors/caroline-hultman
carolyn-hastings,https://signal.nfx.com/investors/carolyn-hastings
carrie-schwab-pomerantz,https://signal.nfx.com/investors/carrie-schwab-pomerantz
carter-burleson,https://signal.nfx.com/investors/carter-burleson
caryl-obam,https://signal.nfx.com/investors/caryl-obam
cathrin-stickney,https://signal.nfx.com/investors/cathrin-stickney
cedric-waldburger,https://signal.nfx.com/investors/cedric-waldburger
charles-birnbaum,https://signal.nfx.com/investors/charles-birnbaum
charles-delingpole,https://signal.nfx.com/investors/charles-delingpole
charlotte-bruce,https://signal.nfx.com/investors/charlotte-bruce
charlotte-stephens_1,https://signal.nfx.com/investors/charlotte-stephens_1
chris-brooks,https://signal.nfx.com/investors/chris-brooks
chris-brown,https://signal.nfx.com/investors/chris-brown
chris-capriccio,https://signal.nfx.com/investors/chris-capriccio
chris-collins,https://signal.nfx.com/investors/chris-collins
chris-donegan,https://signal.nfx.com/investors/chris-donegan
chris-gardner_1,https://signal.nfx.com/investors/chris-gardner_1
chris-gasteratos,https://signal.nfx.com/investors/chris-gasteratos
chris-gottschalk,https://signal.nfx.com/investors/chris-gottschalk
chris-horn,https://signal.nfx.com/investors/chris-horn
chris-jackson_2,https://signal.nfx.com/investors/chris-jackson_2
chris-kelly-stackpoint,https://signal.nfx.com/investors/chris-kelly-stackpoint
chris-kong,https://signal.nfx.com/investors/chris-kong
chris-lyons,https://signal.nfx.com/investors/chris-lyons
chris-messina,https://signal.nfx.com/investors/chris-messina
chris-moody,https://signal.nfx.com/investors/chris-moody
chris-thompson_2,https://signal.nfx.com/investors/chris-thompson_2
chris-wake,https://signal.nfx.com/investors/chris-wake
chris-wallace_1,https://signal.nfx.com/investors/chris-wallace_1
chris-wheatcroft,https://signal.nfx.com/investors/chris-wheatcroft
chris-wu,https://signal.nfx.com/investors/chris-wu
christa-lorenzia-soesanto,https://signal.nfx.com/investors/christa-lorenzia-soesanto
christian-angermayer,https://signal.nfx.com/investors/christian-angermayer
christian-b-sullivan,https://signal.nfx.com/investors/christian-b-sullivan
christian-haigh,https://signal.nfx.com/investors/christian-haigh
christian-hendricks,https://signal.nfx.com/investors/christian-hendricks
christian-horn,https://signal.nfx.com/investors/christian-horn
christian-jepsen,https://signal.nfx.com/investors/christian-jepsen
christian-kaczmarczyk,https://signal.nfx.com/investors/christian-kaczmarczyk
christian-kaiser,https://signal.nfx.com/investors/christian-kaiser
christian-kranicke,https://signal.nfx.com/investors/christian-kranicke
christian-lassonde,https://signal.nfx.com/investors/christian-lassonde
christian-levan,https://signal.nfx.com/investors/christian-levan
christian-limon,https://signal.nfx.com/investors/christian-limon
christian-murray,https://signal.nfx.com/investors/christian-murray
christian-nagel,https://signal.nfx.com/investors/christian-nagel
christian-pensa,https://signal.nfx.com/investors/christian-pensa
christian-quinonez,https://signal.nfx.com/investors/christian-quinonez
christian-quinonez_1,https://signal.nfx.com/investors/christian-quinonez_1
christian-rebernik,https://signal.nfx.com/investors/christian-rebernik
christian-wenger,https://signal.nfx.com/investors/christian-wenger
christian-winter,https://signal.nfx.com/investors/christian-winter
christian-zimmermann,https://signal.nfx.com/investors/christian-zimmermann
christiano-gallo,https://signal.nfx.com/investors/christiano-gallo
christina-li,https://signal.nfx.com/investors/christina-li
christina-ulardic,https://signal.nfx.com/investors/christina-ulardic
christina-zerka_1,https://signal.nfx.com/investors/christina-zerka_1
christine-chang,https://signal.nfx.com/investors/christine-chang
christine-concepcion,https://signal.nfx.com/investors/christine-concepcion
christine-gelnaw,https://signal.nfx.com/investors/christine-gelnaw
christine-gerardy,https://signal.nfx.com/investors/christine-gerardy
christine-kenna,https://signal.nfx.com/investors/christine-kenna
christoph-rosler,https://signal.nfx.com/investors/christoph-rosler
christophe-bonadona,https://signal.nfx.com/investors/christophe-bonadona
christophe-bourque,https://signal.nfx.com/investors/christophe-bourque
christophe-jouin,https://signal.nfx.com/investors/christophe-jouin
christopher-calicott,https://signal.nfx.com/investors/christopher-calicott
christopher-cheng,https://signal.nfx.com/investors/christopher-cheng
christopher-costaras,https://signal.nfx.com/investors/christopher-costaras
christopher-dean,https://signal.nfx.com/investors/christopher-dean
christopher-gaeta,https://signal.nfx.com/investors/christopher-gaeta
christopher-mendoza,https://signal.nfx.com/investors/christopher-mendoza
christopher-natter,https://signal.nfx.com/investors/christopher-natter
christopher-perkins,https://signal.nfx.com/investors/christopher-perkins
christopher-tapper,https://signal.nfx.com/investors/christopher-tapper
chuck-cullen,https://signal.nfx.com/investors/chuck-cullen
chuck-pettid,https://signal.nfx.com/investors/chuck-pettid
chuckie-reddy,https://signal.nfx.com/investors/chuckie-reddy
chung-man-tam,https://signal.nfx.com/investors/chung-man-tam
ciara-gumsheimer,https://signal.nfx.com/investors/ciara-gumsheimer
